cluster,names,scores,logfoldchanges,pvals,pvals_adj
16,CD79B,16.190878,2.608831,5.848815417195299e-59,3.956333708704807e-55
16,IGHM,15.705445,3.7976158,1.3879894680108734e-55,7.041617568586163e-52
16,BANK1,15.355607,2.6624298,3.248545945238332e-53,1.3184548573344292e-49
16,RALGPS2,14.983248,2.4858394,9.448413258506455e-51,3.195610837581192e-47
16,LINC00926,14.855246,2.712683,6.43313209990191e-50,1.8649649957615636e-46
16,TNFRSF13C,14.355285,2.5360482,9.871942380303371e-47,2.504141584043704e-43
16,IGKC,14.097791,3.9855008,3.9184378635320483e-45,8.835206618295094e-42
16,HLA-DQA1,13.999756,2.1653419,1.5640809728328582e-44,3.173989518169719e-41
16,IGHD,13.773778,2.9743638,3.665320675859354e-43,6.761850225019443e-40
16,CD22,13.029109,2.504936,8.357806065012443e-39,1.4133746539774793e-35
16,HLA-DQB1,12.825567,1.8879884,1.1792065027299432e-37,1.8407413507614415e-34
16,CD37,12.5865135,1.078963,2.504951252613205e-36,3.6309268406628406e-33
16,BCL11A,12.5311575,1.8632361,5.042148402409546e-36,6.821354502006462e-33
16,CD74,12.435434,2.1249473,1.6782641178101267e-35,2.1285633589200564e-32
16,SEL1L3,12.015178,2.0916586,2.9573412135682912e-33,3.530195602761255e-30
16,FCRL5,11.962848,2.6965663,5.562085817474756e-33,6.2706337496675126e-30
16,P2RX5,11.945002,2.177416,6.894912815074966e-33,7.364129776648226e-30
16,PLPP5,11.845586,2.1364965,2.2682855506528124e-32,2.3015159339698758e-29
16,STRBP,11.785979,2.0892696,4.61028878539448e-32,4.455075729619532e-29
16,TCF4,11.719327,2.0284066,1.0147505600743082e-31,9.360151416176333e-29
16,FCER2,11.600829,2.305624,4.081044191333474e-31,3.6007230336839214e-28
16,FAM129C,11.428888,2.4318895,2.999234850333903e-30,2.535978034076079e-27
16,TCL1A,11.339474,2.7213566,8.364627050336196e-30,6.789735069298897e-27
17,CLEC9A,6.703158,12.545083,2.0396299859753174e-11,3.9390209756116435e-08
17,C1orf54,6.701223,7.1645336,2.0668274260881107e-11,3.9390209756116435e-08
17,IDO1,6.70097,12.340821,2.0704009923569314e-11,3.9390209756116435e-08
17,HLA-DPA1,6.6984463,5.597386,2.1064710191795155e-11,3.9390209756116435e-08
17,HLA-DPB1,6.690538,5.4615836,2.2235204427092633e-11,3.9390209756116435e-08
17,CST3,6.683218,5.0902276,2.337513399829667e-11,3.9390209756116435e-08
17,SNX3,6.6829658,3.8105934,2.3415445546448772e-11,3.9390209756116435e-08
17,BATF3,6.680694,6.725601,2.3781325451187394e-11,3.9390209756116435e-08
17,HLA-DRB1,6.667401,4.8349996,2.6037316851480064e-11,3.9390209756116435e-08
17,CADM1,6.667064,8.307854,2.6097067684931793e-11,3.9390209756116435e-08
17,CPVL,6.6587353,4.911742,2.761942137320772e-11,3.9390209756116435e-08
17,CLNK,6.6587353,7.895427,2.761942137320772e-11,3.9390209756116435e-08
17,CPNE3,6.6527615,4.044653,2.8764393103655426e-11,3.9390209756116435e-08
17,HLA-DRA,6.646115,4.8540735,3.0093013670986434e-11,3.9390209756116435e-08
17,HLA-DQA1,6.632065,5.3123994,3.310235106645406e-11,3.9390209756116435e-08
17,WDFY4,6.6194444,5.4208074,3.605510005091449e-11,3.9390209756116435e-08
17,CD74,6.6192765,4.5112686,3.609616130425794e-11,3.9390209756116435e-08
17,FLT3,6.6144805,6.2934914,3.7285836745323544e-11,3.9390209756116435e-08
17,HLA-DQB1,6.609685,5.024549,3.8513854252198463e-11,3.9390209756116435e-08
17,IRF8,6.608507,4.9270916,3.882147514523869e-11,3.9390209756116435e-08
17,HLA-DQA2,6.581164,4.4581294,4.667804595687215e-11,4.449251612546778e-08
17,HLA-DRB5,6.576284,4.315925,4.823512318337807e-11,4.449251612546778e-08
17,SHTN1,6.4803715,4.399688,9.149720688285169e-11,8.0728383446683e-08
17,LGMN,6.4717054,5.424114,9.690288269438208e-11,8.193542493821233e-08
17,BASP1,6.453827,4.566687,1.0906030610941502e-10,8.852643167513437e-08
18,MALAT1,13.333331,2.0588984,1.4813283206388273e-40,3.0060595610723722e-36
18,NKTR,10.143045,3.0844166,3.558306941635313e-24,1.7605575801605547e-21
18,DDX17,8.379119,1.6967032,5.332536666347682e-17,9.328721256051165e-15
18,SYNE2,8.060059,3.6079943,7.625779440030606e-16,1.1053567298324363e-13
18,RNF213,6.784345,2.110936,1.1661442701496086e-11,8.896453260957146e-10
18,SRSF11,6.700749,2.3936238,2.0735407261689152e-11,1.5081850163493117e-09
18,PRRC2C,6.3960853,1.6725466,1.5941118189433524e-10,1.0109159731817953e-08
18,EVL,6.3249674,1.647783,2.5328610189120284e-10,1.543523983687141e-08
18,PCSK7,6.25229,1.8688763,4.044778053182857e-10,2.372274018301726e-08
18,KIAA1551,6.181615,2.4379704,6.344920872783986e-10,3.58655931118121e-08
18,ACAP1,5.7406597,1.8970665,9.430852780839863e-09,4.243465531742424e-07
18,CLEC2D,5.673863,2.156856,1.3961294088871932e-08,6.11875172741941e-07
18,ARGLU1,5.6136637,1.7386106,1.980871562835239e-08,8.427217321722328e-07
18,TCF7,5.330837,2.0891862,9.776126756598542e-08,3.5426239334223963e-06
18,GOLGA4,5.259972,2.5173612,1.4407736785182669e-07,5.0936620658834824e-06
18,HNRNPH1,5.2088785,1.2431129,1.8998547553797518e-07,6.624356108405722e-06
18,MIAT,5.0953093,4.1771007,3.4817228198429113e-07,1.1526036082067243e-05
18,ANKRD12,5.047757,1.4729829,4.4702723925059114e-07,1.4353676845114313e-05
18,ATRX,5.012451,1.7763777,5.374104577836139e-07,1.698702557601694e-05
18,SNRNP70,4.8903875,2.4565573,1.0063771247950686e-06,3.0255423694024192e-05
18,PNISR,4.8556085,0.88361734,1.2001765820878391e-06,3.5763852247149076e-05
18,FYB1,4.765478,0.8788363,1.8840627409606625e-06,5.446336923406656e-05
18,OGT,4.7382665,2.3005059,2.155544475775926e-06,6.075342228739008e-05
18,TMC8,4.7354627,2.2415922,2.1855569991956056e-06,6.142868169622774e-05
18,MACF1,4.2966156,2.0463862,1.7342564581990325e-05,0.0003963205665116325
