cluster,names,scores,logfoldchanges,pvals,pvals_adj
1,TAGLN2,7.5050807,4.304133,6.139081393654779e-14,1.0306081556629676e-10
1,TUBB1,7.4950404,10.096479,6.627796422153015e-14,1.0306081556629676e-10
1,CAVIN2,7.476633,10.36779,7.625082272102951e-14,1.0306081556629676e-10
1,GNG11,7.4732866,9.571919,7.821629323208911e-14,1.0306081556629676e-10
1,ACRBP,7.4682665,9.47479,8.125821953682295e-14,1.0306081556629676e-10
1,PPBP,7.448186,10.32354,9.463241437930053e-14,1.0768461452266531e-10
1,TSC22D1,7.439819,8.562904,1.0082332212736614e-13,1.0768461452266531e-10
1,MAP3K7CL,7.439819,8.6046,1.0082332212736614e-13,1.0768461452266531e-10
1,PF4,7.426432,10.263762,1.1156617234690694e-13,1.0781011121122774e-10
1,YWHAH,7.426432,5.134812,1.1156617234690694e-13,1.0781011121122774e-10
1,TPM4,7.35113,4.9379187,1.9653780820142543e-13,1.812882609923421e-10
1,NRGN,7.3159895,8.416498,2.5549185568725805e-13,2.1873798425275746e-10
1,RGS18,7.314316,7.6519885,2.5869568925571274e-13,2.1873798425275746e-10
1,LMNA,7.292562,6.4918694,3.0411518326873617e-13,2.468563765628985e-10
1,GP9,7.2624416,34.19707,3.801651419448178e-13,2.8572930464763663e-10
1,OST4,7.2507277,2.8857262,4.145379822455362e-13,3.004364026324524e-10
2,PBXIP1,5.511931,2.7389052,3.5491844210200875e-08,0.0007202359945576064
2,AAK1,5.3521647,2.345516,8.690823855914886e-08,0.0007445398572337526
2,CD3D,5.3092647,2.0709295,1.1006847542015757e-07,0.0007445398572337526
2,PPP1R10,5.034112,2.2293832,4.800694540590524e-07,0.0017947935466886738
2,TRAC,5.0148807,2.0303612,5.306638387686415e-07,0.0017947935466886738
2,LDHB,4.9527493,1.5755911,7.317217275607633e-07,0.002002552289455112
2,LTB,4.9379563,1.9551083,7.894553942561916e-07,0.002002552289455112
2,JUNB,4.5977135,1.5371013,4.271525631302263e-06,0.009631341070668535
2,CD27,4.4971204,1.8171946,6.888006815309268e-06,0.013977832230307095
2,RPL37,4.4571786,1.3750806,8.304540354176912e-06,0.014636578100754628
2,EVL,4.4483027,1.5865878,8.655148928648081e-06,0.014636578100754628
2,RPS20,4.3639817,1.1966474,1.2771625199541741e-05,0.01993650693648466
2,RPS29,4.3403125,1.3076155,1.4228011883584416e-05,0.02062350322525561
2,PIK3IP1,4.2840986,1.7823964,1.8348147917661353e-05,0.023271185355818864
2,RPS27,4.2840986,1.1346499,1.8348147917661353e-05,0.023271185355818864
2,BCL11B,4.2456365,1.7806588,2.1797380370699434e-05,0.02601966116838845
2,IL7R,4.221967,1.7336262,2.421791394566648e-05,0.026582724839748748
2,ETS1,4.214571,1.5212152,2.5025361376716002e-05,0.026582724839748748
2,FAM102A,4.2042155,2.4331331,2.619891079657887e-05,0.026582724839748748
2,RPL38,4.186464,1.2054464,2.8333406835194495e-05,0.027379515471742943
2,RPL27A,4.164274,1.1942943,3.1234472116423165e-05,0.028810961029935238
2,SPOCK2,4.1243324,1.6462705,3.718113600422082e-05,0.03197505233284534
2,IL32,4.116936,1.7603227,3.839426696466593e-05,0.03197505233284534
2,RPL13A,4.1110187,1.1560688,3.9391726621058166e-05,0.03197505233284534
2,CCR7,4.088829,2.3445225,4.335563451159072e-05,0.033427022217005435
3,CD74,6.2316895,4.916014,4.6143211083597656e-10,4.968833467580549e-06
3,IGHM,6.160821,8.157287,7.236879900464963e-10,4.968833467580549e-06
3,MS4A1,6.1584587,8.340877,7.34563662481725e-10,4.968833467580549e-06
3,CD79A,6.0474315,6.8777776,1.4717314479880334e-09,7.466461568505291e-06
